id,start_time,start_time_local,end_time,end_time_local,duration,distance,user_id,score
0,2016-11-06 01:08:43+00:00,2016-11-05 21:08:43,2016-11-06 02:22:15+00:00,2016-11-05 22:22:15,73.0,70324.2,0,96.6
1,2016-11-07 03:33:10+00:00,2016-11-06 22:33:10,2016-11-07 03:53:30+00:00,2016-11-06 22:53:30,20.0,10118.9,0,100.0
2,2016-11-17 03:26:31+00:00,2016-11-16 22:26:31,2016-11-17 03:38:16+00:00,2016-11-16 22:38:16,11.0,3376.8,0,100.0
3,2016-11-10 04:09:26+00:00,2016-11-09 23:09:26,2016-11-10 04:39:35+00:00,2016-11-09 23:39:35,30.0,14847.2,0,100.0
4,2016-11-23 02:50:29+00:00,2016-11-22 21:50:29,2016-11-23 03:23:22+00:00,2016-11-22 22:23:22,32.0,16847.3,0,100.0
5,2016-11-09 10:45:34+00:00,2016-11-09 05:45:34,2016-11-09 11:07:06+00:00,2016-11-09 06:07:06,21.0,6761.88,0,88.38
6,2016-11-05 16:21:39+00:00,2016-11-05 12:21:39,2016-11-05 16:40:03+00:00,2016-11-05 12:40:03,18.0,3900.53,0,100.0
7,2016-11-15 10:32:35+00:00,2016-11-15 05:32:35,2016-11-15 13:26:59+00:00,2016-11-15 08:26:59,174.0,346486.0,0,88.53
8,2016-11-06 17:31:42+00:00,2016-11-06 12:31:42,2016-11-06 17:44:42+00:00,2016-11-06 12:44:42,13.0,5461.66,0,100.0
9,2016-11-08 15:33:33+00:00,2016-11-08 10:33:33,2016-11-08 15:46:24+00:00,2016-11-08 10:46:24,12.0,6024.87,0,61.11
10,2016-11-05 19:26:16+00:00,2016-11-05 15:26:16,2016-11-05 20:23:35+00:00,2016-11-05 16:23:35,57.0,67904.3,0,100.0
11,2016-11-26 03:21:05+00:00,2016-11-25 22:21:05,2016-11-26 03:53:45+00:00,2016-11-25 22:53:45,32.0,16908.6,0,100.0
12,2016-11-15 13:33:09+00:00,2016-11-15 08:33:09,2016-11-15 14:14:45+00:00,2016-11-15 09:14:45,41.0,29103.9,0,75.96
13,2016-11-08 16:19:34+00:00,2016-11-08 11:19:34,2016-11-08 18:41:26+00:00,2016-11-08 13:41:26,141.0,212493.0,0,78.48
14,2016-11-27 03:40:55+00:00,2016-11-26 22:40:55,2016-11-27 04:13:57+00:00,2016-11-26 23:13:57,33.0,16912.0,0,92.43
15,2016-11-06 23:26:01+00:00,2016-11-06 18:26:01,2016-11-06 23:41:28+00:00,2016-11-06 18:41:28,15.0,13623.1,0,100.0
16,2016-11-13 19:59:11+00:00,2016-11-13 14:59:11,2016-11-13 20:21:06+00:00,2016-11-13 15:21:06,21.0,4348.91,0,88.6
17,2016-11-08 22:57:39+00:00,2016-11-08 17:57:39,2016-11-08 23:14:22+00:00,2016-11-08 18:14:22,16.0,5399.37,0,100.0
18,2016-11-19 16:59:28+00:00,2016-11-19 11:59:28,2016-11-19 17:13:12+00:00,2016-11-19 12:13:12,13.0,2727.0,0,100.0
19,2016-11-22 13:20:20+00:00,2016-11-22 08:20:20,2016-11-22 14:06:54+00:00,2016-11-22 09:06:54,46.0,39003.6,0,73.15
20,2016-11-19 19:58:32+00:00,2016-11-19 14:58:32,2016-11-19 20:23:44+00:00,2016-11-19 15:23:44,25.0,7117.94,0,80.16
21,2016-11-24 17:09:02+00:00,2016-11-24 12:09:02,2016-11-24 17:43:10+00:00,2016-11-24 12:43:10,34.0,17406.1,0,85.35
22,2016-11-24 20:11:44+00:00,2016-11-24 15:11:44,2016-11-24 20:57:29+00:00,2016-11-24 15:57:29,45.0,45175.0,0,94.54
23,2016-11-22 19:02:54+00:00,2016-11-22 14:02:54,2016-11-22 19:42:44+00:00,2016-11-22 14:42:44,39.0,38161.4,0,93.56
24,2016-11-16 23:04:23+00:00,2016-11-16 18:04:23,2016-11-16 23:45:43+00:00,2016-11-16 18:45:43,41.0,25838.5,0,87.9
25,2016-11-30 12:55:14+00:00,2016-11-30 07:55:14,2016-11-30 13:37:59+00:00,2016-11-30 08:37:59,42.0,39299.8,0,82.46
26,2016-11-26 22:44:02+00:00,2016-11-26 17:44:02,2016-11-26 23:11:06+00:00,2016-11-26 18:11:06,27.0,18569.4,0,100.0
27,2016-11-29 22:52:26+00:00,2016-11-29 17:52:26,2016-11-29 23:06:55+00:00,2016-11-29 18:06:55,14.0,1917.46,0,100.0
28,2016-11-08 23:41:58+00:00,2016-11-08 18:41:58,2016-11-09 02:28:57+00:00,2016-11-08 21:28:57,166.0,221948.0,0,96.99
29,2016-11-10 00:29:46+00:00,2016-11-09 19:29:46,2016-11-10 01:09:07+00:00,2016-11-09 20:09:07,39.0,16774.9,0,87.29
30,2016-11-22 23:52:09+00:00,2016-11-22 18:52:09,2016-11-23 00:22:29+00:00,2016-11-22 19:22:29,30.0,4337.05,0,100.0
31,2016-11-23 00:28:26+00:00,2016-11-22 19:28:26,2016-11-23 01:07:44+00:00,2016-11-22 20:07:44,39.0,20993.4,0,100.0
32,2016-11-26 01:15:23+00:00,2016-11-25 20:15:23,2016-11-26 01:41:30+00:00,2016-11-25 20:41:30,26.0,17836.6,0,100.0
33,2016-11-01 12:34:14+00:00,2016-11-01 08:34:14,2016-11-01 13:12:41+00:00,2016-11-01 09:12:41,38.0,26977.8,1,74.5016
34,2016-11-03 12:52:21+00:00,2016-11-03 08:52:21,2016-11-03 13:06:29+00:00,2016-11-03 09:06:29,14.0,15779.2,1,91.5087
35,2016-11-01 22:10:21+00:00,2016-11-01 18:10:21,2016-11-01 22:34:05+00:00,2016-11-01 18:34:05,23.0,17252.8,1,100.0
36,2016-11-04 12:43:11+00:00,2016-11-04 08:43:11,2016-11-04 13:06:57+00:00,2016-11-04 09:06:57,23.0,17192.4,1,100.0
37,2016-11-07 13:49:54+00:00,2016-11-07 08:49:54,2016-11-07 14:04:14+00:00,2016-11-07 09:04:14,14.0,15362.3,1,82.5558
38,2016-11-03 21:58:22+00:00,2016-11-03 17:58:22,2016-11-03 22:19:31+00:00,2016-11-03 18:19:31,21.0,16670.2,1,100.0
